Connecting to ATC...
Fuel left: 290.16666
Fuel left: 290.08334
Fuel left: 290.0
Fuel left: 289.91666
Fuel left: 289.83334
Fuel left: 289.75
Fuel left: 289.66666
Fuel left: 289.58334
Fuel left: 289.5
Fuel left: 289.41666
Fuel left: 289.33334
Fuel left: 289.25
Fuel left: 289.16666
Fuel left: 289.08334
Fuel left: 289.0
Fuel left: 288.91666
Fuel left: 288.83334
Fuel left: 288.75
Fuel left: 288.66666
Fuel left: 288.58334
Fuel left: 288.5
Fuel left: 288.41666
Fuel left: 288.33334
Fuel left: 288.25
Fuel left: 288.16666
Fuel left: 288.08334
Fuel left: 288.0
Fuel left: 287.91666
Fuel left: 287.83334
Fuel left: 287.75
Fuel left: 287.66666
Fuel left: 287.58334
Fuel left: 287.5
Fuel left: 287.41666
Fuel left: 287.33334
Fuel left: 287.25
Fuel left: 287.16666
Fuel left: 287.08334
Fuel left: 287.0
Fuel left: 286.91666
Fuel left: 286.83334
Fuel left: 286.75
Fuel left: 286.66666
Fuel left: 286.58334
Fuel left: 286.5
Fuel left: 286.41666
Fuel left: 286.33334
Fuel left: 286.25
Fuel left: 286.16666
Fuel left: 286.08334
Fuel left: 286.0
Fuel left: 285.91666
Fuel left: 285.83334
Fuel left: 285.66666
Fuel left: 285.58334
Fuel left: 285.5
Fuel left: 285.41666
Fuel left: 285.33334
Fuel left: 285.25
Fuel left: 285.16666
Fuel left: 285.08334
Fuel left: 285.0
Fuel left: 284.91666
Fuel left: 284.83334
Fuel left: 284.75
Fuel left: 284.66666
Fuel left: 284.58334
Fuel left: 284.5
Fuel left: 284.41666
Fuel left: 284.33334
Fuel left: 284.25
Exception in thread "main" java.util.NoSuchElementException: No line found
	at java.base/java.util.Scanner.nextLine(Scanner.java:1690)
	at org.demos.aircraft.AircraftNode.main(AircraftNode.java:53)
Fuel left: 284.16666
Fuel left: 284.08334
Fuel left: 284.0
Fuel left: 283.91666
Fuel left: 283.83334
Fuel left: 283.75
Fuel left: 283.66666
Fuel left: 283.58334
Fuel left: 283.5
Fuel left: 283.41666
Fuel left: 283.33334
Fuel left: 283.25
Fuel left: 283.16666
Fuel left: 283.08334
Fuel left: 283.0
Fuel left: 282.91666
Fuel left: 282.83334
Fuel left: 282.75
Fuel left: 282.66666
Fuel left: 282.58334
Fuel left: 282.5
Fuel left: 282.41666
Fuel left: 282.33334
Fuel left: 282.25
Fuel left: 282.16666
Fuel left: 282.08334
Fuel left: 282.0
Fuel left: 281.91666
Fuel left: 281.83334
Fuel left: 281.75
Fuel left: 281.66666
Fuel left: 281.58334
Fuel left: 281.5
Fuel left: 281.41666
Fuel left: 281.33334
Fuel left: 281.25
Fuel left: 281.16666
Fuel left: 281.08334
Fuel left: 281.0
Fuel left: 280.91666
Fuel left: 280.83334
Fuel left: 280.75
Fuel left: 280.66666
Fuel left: 280.58334
Fuel left: 280.5
Fuel left: 280.41666
Fuel left: 280.33334
Fuel left: 280.25
Fuel left: 280.16666
Fuel left: 280.08334
Fuel left: 280.0
Fuel left: 279.91666
Fuel left: 279.83334
Fuel left: 279.75
Fuel left: 279.66666
Fuel left: 279.58334
Fuel left: 279.5
Fuel left: 279.41666
Fuel left: 279.33334
Fuel left: 279.25
Fuel left: 279.16666
Fuel left: 279.08334
Fuel left: 279.0
Fuel left: 278.91666
Fuel left: 278.83334
Fuel left: 278.75
Fuel left: 278.66666
Fuel left: 278.58334
Fuel left: 278.5
Fuel left: 278.41666
Fuel left: 278.33334
Fuel left: 278.25
Fuel left: 278.16666
Fuel left: 278.08334
Fuel left: 278.0
Fuel left: 277.91666
Fuel left: 277.83334
Fuel left: 277.75
Fuel left: 277.66666
Fuel left: 277.58334
Fuel left: 277.5
Fuel left: 277.41666
Fuel left: 277.33334
